"","ein","tax_pd","equity_ratio"
"499",133402057,201206,0.783919262180455
"500",133402057,201606,0.780893761654219
"501",133420753,201806,0.444327943580356
"502",133421324,201812,0.997446434127657
"503",133439109,201807,0.958486624704353
"504",133439109,201907,0.970477243179284
"505",133463392,201806,1
"506",133505123,201812,0.880127418480122
"507",133514340,201812,0.9880660346085
"508",133516262,201806,0.664546254672593
"509",133518596,201812,0.997656718822547
"510",133544227,201906,0.473911715340428
"511",133556135,201812,-1.52901152901153
"512",133570544,201812,0.677117432914616
"513",133582492,201812,0.505816699066856
"514",133584089,201806,0.719103460333512
"515",133591350,201812,0.977775265494507
"516",133620671,201812,-0.0860338789319055
"517",133627750,201812,0.172968542227117
"518",133635059,201806,0.883513680841814
"519",133636555,201806,0.237639340116043
"520",133652630,201806,-1.34458196242848
"521",133687891,201806,0.285345128512159
"522",133687895,201806,0.136344986233554
"523",133706959,201812,0.499777527809024
"524",133735311,201812,0.961037776192652
"525",133773591,201812,-1.42946226909532
"526",133778489,201806,0.927264945728109
"527",133784406,201812,0.0738600726177021
"528",133846708,201812,0.883148736833637
"529",133860487,201812,0.831926825997675
"530",133914167,201812,0.168329438639635
"531",133927797,201812,-0.216131078239017
"532",133940622,201812,-13.8099641441781
"533",133946529,201812,0.523220493656657
"534",133970573,201812,1
"535",133996271,201806,0.540835017641708
"536",133997769,201812,0.575145737141831
"537",134011201,201812,0.0694245277270742
"538",134031037,201812,0.984473314463744
"539",134087428,201812,0.959961756574383
"540",134103352,201812,0.567786107446024
"541",134138205,201812,-0.161435567960398
"542",134169825,201806,0.391811476624576
"543",134196931,201812,-0.403724908999257
"544",134221502,201809,0.565201326135549
"545",134233543,201812,0.995509192122375
"546",134236650,201906,0.594864246204924
"547",134284680,201812,-0.19195831864083
"548",135562202,201806,0.814363524440828
"549",136202692,201806,0.756124369802813
"550",136222626,201806,0.833578821540698
"551",136265613,201812,0.284724301912391
"552",136271908,201806,0.941911943087395
"553",141491879,201811,0.872922009128209
"554",141492922,201812,0.678400033766435
"555",141493667,201802,0.423048269678504
"556",141503655,201804,0.447838504895837
"557",141503655,201904,0.689901113828155
"558",141504550,201906,-0.021319032256205
"559",141548263,201806,0.879903630799452
"560",141558673,201812,0.0764364451432682
"561",141589002,201812,0.993719141828698
"562",141601549,201812,0.653521067593936
"563",141604145,201805,0.399644753406363
"564",141605957,201812,0.97313072366273
"565",141611857,201812,0.233333165045211
"566",141615406,201812,0.895991869361799
"567",141626314,201803,0.556939628023486
"568",141627038,201810,0.290712213215279
"569",141628657,201806,-2.26204780774639
"570",141629449,201806,0.289791534974137
"571",141633606,201901,0.908455172742335
"572",141645491,201812,0.911005888062372
"573",141645494,201812,-0.023303244877169
"574",141664058,201901,-0.190785121516134
"575",141664264,201806,0.434795754519217
"576",141666190,201906,0.968434000899337
"577",141705132,201812,-1.86808368592551
"578",141708404,201906,0.217813215765401
"579",141715960,201812,0.139620267599048
"580",141724406,201812,0.94554592648983
"581",141724900,201904,0.806148179546865
"582",141758441,201906,0.795696952139745
"583",141758686,201806,0.568019801980198
"584",141758686,201906,0.573155216284987
"585",141770461,201812,0.376718159305934
"586",141815690,201806,0.618427094266576
