"","ein","tax_pd","st_debt_ratio"
"536",133997769,201812,0.73868975360831
"537",134011201,201812,0.199089597117367
"538",134031037,201812,0.0157715656769363
"539",134087428,201812,0
"540",134103352,201812,0.00981673728274747
"541",134138205,201812,-0.230835100309901
"542",134169825,201806,0.00896134691759731
"543",134196931,201812,-0.071849449131283
"544",134221502,201809,NA
"545",134233543,201812,0.000384356335674413
"546",134236650,201906,0.0341142716365912
"547",134284680,201812,-0.0305890282761923
"548",135562202,201806,0.0397518227163002
"549",136202692,201806,0.0762980335658683
"550",136222626,201806,0.0140576510791327
"551",136265613,201812,0.104678935351612
"552",136271908,201806,0.0184690736937763
"553",141491879,201811,0.134628411562816
"554",141492922,201812,0.470556821787579
"555",141493667,201802,0.164957721265466
"556",141503655,201804,0.113507279161394
"557",141503655,201904,0.0545298792143507
"558",141504550,201906,-4.13014871563767
"559",141548263,201806,0.081746802122073
"560",141558673,201812,1.01433385854342
"561",141589002,201812,0.00612601816600751
"562",141601549,201812,0.058940128468084
"563",141604145,201805,0.117518734627537
"564",141605957,201812,0.0276111684524133
"565",141611857,201812,0.482008784646342
"566",141615406,201812,0.00592755370178751
"567",141626314,201803,0.504840865012141
"568",141627038,201810,1.08704092411958
"569",141628657,201806,-0.0408799595787682
"570",141629449,201806,0.172706305461084
"571",141633606,201901,0.048394785152531
"572",141645491,201812,0.0343328396201056
"573",141645494,201812,-25.9512675803995
"574",141664058,201901,-5.57226553158927
"575",141664264,201806,0.0822548339419023
"576",141666190,201906,0.00102074883055186
"577",141705132,201812,-0.024176011510088
"578",141708404,201906,0.523958688640672
"579",141715960,201812,0.0483785269051284
"580",141724406,201812,0.0536137615748981
"581",141724900,201904,0.0614195498112998
"582",141758441,201906,0.0258585228629813
"583",141758686,201806,0.378769391668119
"584",141758686,201906,0.74472807991121
"585",141770461,201812,0.0226946107784431
"586",141815690,201806,0.103002796035584
"587",141819599,201806,-0.0322802582648283
"588",141828476,201812,0.0500112271395626
"589",141855665,201812,0.0661823122358983
"590",141869951,201806,0.0131406541450933
"591",141884382,201812,1.17439078729359
"592",141891112,201812,0
"593",141891112,201712,0
"594",141959607,201812,0.00930619398442583
"595",141959607,201712,0.0140509502193132
"596",141973678,201812,0.00926130934591634
"597",141977260,201812,-0.00981367680802549
"598",141983932,201806,0.201829744505188
"599",141987692,201809,0.000569944630226701
"600",141990608,201812,-0.0900310745789896
"601",160743940,201903,1.56346432917504
"602",160863402,201803,0.0682461809138739
"603",160902835,201809,-3.79809682546361
"604",160903802,201812,0.0318642476640351
"605",160905222,201810,1.00163687206746
"606",160907793,201812,0.227772025529679
"607",160909190,201812,0.771537428391306
"608",160909583,201812,0.451948726422889
"609",160911473,201802,0.608929547800983
"610",160950820,201906,-0.303186409832919
"611",160963924,201806,NA
"612",160984913,201809,0.278591761160572
"613",160999976,201904,0.0456705035874349
"614",161002392,201809,0.016754788650065
"615",161004653,201812,0.111678824619392
"616",161006727,201812,0.142038095706462
"617",161063363,201812,0.0278907694495804
"618",161065303,201808,0.00795808108585713
"619",161067572,201712,0.158296284508452
"620",161067572,201812,0.281559732547561
"621",161072548,201812,-0.0962344851424842
"622",161079046,201812,-0.398512613260994
"623",161080227,201812,0.213931228115065
"624",161086304,201812,0.015182963766717
"625",161092291,201808,0.0367612265088071
"626",161094813,201809,0.352613750801062
"627",161109094,201906,0.0127516508890378
"628",161116852,201906,0.0486471423042188
"629",161119263,201812,0.0210582503973342
"630",161125586,201811,0
"631",161130177,201806,-0.00676060460304207
"632",161132971,201808,0.0660229714933332
"633",161137874,201906,0.0122765246600128
"634",161139614,201812,0.129985665855157
"635",161159574,201906,0.0376555685565365
"636",161159720,201812,0.0700170695521578
"637",161160170,201809,0
"638",161160170,201909,0
"639",161163460,201812,0.0143058041732144
"640",161164184,201806,0.040421972619576
"641",161165911,201812,0.0293982496263158
"642",161166659,201808,0.0163260175777459
"643",161167946,201812,0.0163661562861613
"644",161169252,201808,0.2320415080852
"645",161170113,201806,0.0126147693335195
"646",161170113,201906,0.0118215894768241
"647",161183242,201809,0.0151865650385872
"648",161190886,201806,0.22162431122496
"649",161199332,201906,-0.0830399377034785
"650",161199332,201806,-0.0481898137945738
"651",161265765,201809,0.0121262136233118
"652",161271229,201812,0.0138695005283451
"653",161277244,201812,-0.0136377904375179
"654",161289461,201809,0.141249857061178
"655",161301678,201903,-0.0179449302920062
"656",161321037,201803,0.445447201332504
"657",161328750,201809,0.160075379115512
"658",161329890,201906,0
"659",161330593,201812,0.0816341594264996
"660",161337423,201806,0.127436808112908
"661",161337423,201906,0.131019329205138
"662",161370403,201906,0.00808820443959548
"663",161375112,201906,0.0127589861539482
"664",161375112,201806,0
"665",161375637,201812,-28.746001626457
"666",161387187,201906,0.790651174507211
"667",161399793,201812,0.00245644696925387
"668",161408996,201812,0.00492990096099076
"669",161429861,201812,0.0155737565565297
"670",161450203,201812,-0.208288467946197
"671",161452557,201903,0.00570804775659447
"672",161453947,201812,-0.154412954790052
"673",161481094,201805,-0.331161712262308
"674",161481094,201905,0.0431750614776662
"675",161481094,201705,-0.309368674556388
"676",161509425,201812,0.000364542164607963
"677",161559032,201806,0.0441912597351575
"678",161561999,201812,0.0168262770757511
"679",161568466,201812,0
"680",161572206,201812,0.106955341453919
"681",161585356,201812,0.37413797144365
"682",161605654,201812,-0.0233903033267216
"683",161607165,201903,1.10165672888302
"684",161617489,201812,0.019949408792289
"685",161637410,201812,0
"686",161660243,201903,0.00407925645169827
