"","ein","tax_pd","pred_profitmargin"
"707",200330858,201812,0.450605391262796
"708",200428240,201812,0.103730642890662
"709",200436490,201809,-0.063187479305553
"710",200446324,201812,0.0522743387659299
"711",200458814,201812,-0.164429600487326
"712",200468802,201812,0.340755164239756
"713",200470082,201812,-15.0239468496751
"714",200503404,201812,-1.14491175773451
"715",200530683,201812,0.0522343226607593
"716",200553370,201812,0.187091357905265
"717",200573561,201812,-0.0854433895485956
"718",200688727,201812,0.356173845731645
"719",200696964,201806,-0.516297005179014
"720",200701353,201806,0.70290526545296
"721",200726638,201806,0.281471962673365
"722",200951085,201809,-1.23169750603379
"723",200956663,201812,-0.0123103853343562
"724",201044089,201806,0.313308856078952
"725",201110283,201806,-0.140276970753438
"726",201150352,201712,-6.35368127794379
"727",201150352,201812,-2.27904714117877
"728",201249814,201812,-0.137986779248809
"729",201309418,201809,-0.148189176808571
"730",201309418,201609,0.520308995763768
"731",201324945,201712,0.14369373289199
"732",201413891,201812,0.0953276282657784
"733",201484525,201903,0.0618665502119839
"734",201545635,201812,-0.197338708979694
"735",201583332,201812,0.403562620612456
"736",201592192,201812,0.30673127913143
"737",201594213,201806,-2.36839148116438
"738",201683627,201806,NA
"739",201688621,201806,0.593448135302113
"740",201700622,201812,-4.20554220146038
"741",201788094,201812,-0.667788488962409
"742",201793571,201812,0.0411881286230986
"743",201794339,201812,0.0239848950088685
"744",201848987,201812,-0.0875335946782217
"745",201880465,201906,0.00250773217420379
"746",201891448,201812,0.0823281561015299
"747",201935580,201806,0.268935619499815
"748",201952464,201906,0.106568999222743
"749",201989307,201906,0.0792094007266707
"750",202007127,201812,0.110782692054661
"751",202010603,201812,0.0286131257739254
"752",202053859,201812,0.0366540469862323
