"","ein","tax_pd","quick_ratio"
"781",203558447,201812,2.07211499989088
"782",203771819,201812,6.81498430733084
"783",203773809,201906,1.72557683433318
"784",203852230,201812,593.836956521739
"785",203853610,201812,1840.17742857143
"786",203866727,201806,NA
"787",203916750,201812,5.56131834860876
"788",204122028,201806,NA
"789",204130979,201812,8.50984217059762
"790",204181020,201806,10.4143109540636
"791",204203798,201812,6.2571277719113
"792",204216595,201812,7.69812201880599
"793",204361698,201812,1.22979274252281
"794",204398263,201806,48.9648589277416
"795",204398692,201809,0.787989080982712
"796",204526894,201812,1.04253816042434
"797",204594987,201812,0.0573973994056501
"798",204627275,201812,43.7435266725501
"799",204741922,201812,3.20516379789006
